City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Bilibino,RU,68.0546,166.4372,53.2,42,50,7.34,scattered clouds
168,Hohhot,CN,40.8106,111.6522,72.82,57,100,9.71,overcast clouds
169,Yellowknife,CA,62.456,-114.3525,56.95,94,100,6.11,light rain
170,Ancud,CL,-41.8697,-73.8203,39.51,88,5,3.8,clear sky
171,Karaidel,RU,55.8337,56.9069,69.98,71,68,2.28,broken clouds
172,Vaitape,PF,-16.5167,-151.75,76.46,69,81,25.34,broken clouds
173,Buzmeyin,TM,38.0507,58.2056,87.51,24,3,3.8,clear sky
174,Bose,IT,45.4612,8.0137,69.21,79,97,4.56,overcast clouds
175,Husavik,IS,66.0449,-17.3389,49.03,83,22,9.48,few clouds
176,Grand Gaube,MU,-20.0064,57.6608,66.38,78,3,1.99,clear sky
177,Sidrolandia,BR,-20.9319,-54.9614,65.84,95,100,4.83,overcast clouds
178,Lagoa,PT,39.05,-27.9833,73.35,82,19,16.98,light rain
179,Ilulissat,GL,69.2167,-51.1,42.82,93,100,3.44,overcast clouds
180,Roebourne,AU,-20.7833,117.1333,76.28,16,6,8.84,clear sky
181,Lerwick,GB,60.1545,-1.1494,55.4,92,99,13.4,overcast clouds
182,Saint-Augustin,CA,51.226,-58.6502,58.42,61,10,16.8,clear sky
183,Dicabisagan,PH,17.0818,122.4157,81.48,85,100,9.86,overcast clouds
184,Alexandria,EG,31.2156,29.9553,78.48,73,0,2.55,clear sky
185,Honningsvag,NO,70.9821,25.9704,49.75,87,100,21.85,light intensity drizzle
186,Bredasdorp,ZA,-34.5322,20.0403,57.24,89,100,3.4,overcast clouds
187,Geraldton,AU,-28.7667,114.6,64.81,72,75,11.5,broken clouds
188,Kirakira,SB,-10.4544,161.9205,82.58,72,88,7.47,light rain
189,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.78,64,90,8.32,overcast clouds
190,Tibati,CM,6.4667,12.6333,64.54,98,100,2.48,overcast clouds
191,Kruisfontein,ZA,-34.0033,24.7314,56.88,93,100,14.41,moderate rain
192,Kamaishi,JP,39.2667,141.8833,82.78,74,100,11.18,light rain
