City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,Bilibino,68.0546,166.4372,42.82,55,10,3.31,RU,2022-08-07 22:26:16
271,Grindavik,63.8424,-22.4338,51.75,87,20,14.97,IS,2022-08-07 22:26:16
272,Harper,4.375,-7.7169,73.76,80,100,8.5,LR,2022-08-07 22:26:16
273,Hun,29.1268,15.9477,83.26,34,0,9.33,LY,2022-08-07 22:26:16
274,Yulara,-25.2406,130.9889,45.66,48,0,10.07,AU,2022-08-07 22:26:17
275,Gat,31.61,34.7642,79.48,64,0,3.06,IL,2022-08-07 22:26:17
276,Ciudad Bolivar,8.1222,-63.5497,85.62,62,96,5.7,VE,2022-08-07 22:26:17
277,Saint-Francois,46.4154,3.9054,65.64,42,0,4.61,FR,2022-08-07 22:22:59
278,Majene,-3.5403,118.9707,77.25,84,100,4.38,ID,2022-08-07 22:27:18
279,Pevek,69.7008,170.3133,32.45,94,100,16.33,RU,2022-08-07 22:27:18
280,Moose Factory,51.2585,-80.6094,60.85,51,0,7.7,CA,2022-08-07 22:27:18
281,Souillac,-20.5167,57.5167,66.58,94,75,3.44,MU,2022-08-07 22:27:19
282,Ramanuj Ganj,23.8,83.7,75.67,91,59,4.43,IN,2022-08-07 22:27:19
283,Esperance,-33.8667,121.9,48.63,85,0,13.38,AU,2022-08-07 22:27:19
284,Kota Bahru,6.1333,102.2386,78.75,94,20,3.44,MY,2022-08-07 22:27:20
285,Oranjemund,-28.55,16.4333,54.16,86,0,5.3,NA,2022-08-07 22:27:20
286,Koslan,63.4564,48.8989,62.4,97,58,6.53,RU,2022-08-07 22:27:20
287,Nelson Bay,-32.7167,152.15,55.99,96,77,10.0,AU,2022-08-07 22:25:17
288,Selma,36.5708,-119.6121,100.63,32,0,5.75,US,2022-08-07 22:27:19
289,Lexington,37.9887,-84.4777,84.69,78,0,10.36,US,2022-08-07 22:22:58
290,Ribeira Grande,38.5167,-28.7,74.46,83,28,15.59,PT,2022-08-07 22:23:54
291,Victoria,22.2855,114.1577,83.97,89,86,5.01,HK,2022-08-07 22:22:56
292,Bogovarovo,58.9785,47.0246,64.24,86,51,4.54,RU,2022-08-07 22:27:21
293,Gisborne,-38.6533,178.0042,52.32,88,99,3.58,NZ,2022-08-07 22:27:21
294,Port Hedland,-20.3167,118.5667,53.65,54,0,8.05,AU,2022-08-07 22:22:27
